Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,,,,MEAN ACCESS TIME,,585.5729263
763,15:00.2,26:37.1,696.838,,,,,,,
764,48:50.5,59:29.1,638.607,,,,,,,
765,22:17.1,31:33.4,556.314,,,,,,,
766,54:59.2,03:45.1,525.888,,,,,,,
767,27:02.4,36:43.0,580.636,,,,,,,
768,59:16.6,10:19.5,662.896,,,,,,,
769,32:32.6,44:13.3,700.728,,,,,,,
770,07:24.7,18:08.2,643.475,,,,,,,
771,44:32.5,51:38.5,425.962,,,,,,,
772,48:43.8,56:28.8,465.093,,,,,,,
773,22:20.0,33:16.8,656.83,,,,,,,
774,56:15.6,07:55.9,700.321,,,,,,,
775,30:08.3,41:02.6,654.289,,,,,,,
776,03:41.4,13:12.4,571.088,,,,,,,
777,36:33.5,45:18.2,524.74,,,,,,,
778,08:41.4,18:06.3,564.885,,,,,,,
779,40:48.8,51:36.9,648.099,,,,,,,
780,13:49.3,25:28.6,699.319,,,,,,,
781,48:19.8,59:24.6,664.778,,,,,,,
782,24:55.2,33:04.1,488.958,,,,,,,
783,30:11.4,36:47.4,396.018,,,,,,,
784,03:36.7,14:09.8,633.189,,,,,,,
785,37:30.9,49:11.1,700.242,,,,,,,
786,11:25.3,22:33.7,668.387,,,,,,,
787,45:03.9,54:51.3,587.356,,,,,,,
788,18:05.7,26:53.2,527.449,,,,,,,
789,50:20.3,59:31.3,550.918,,,,,,,
790,22:23.1,32:55.0,631.929,,,,,,,
791,55:09.6,06:44.1,694.495,,,,,,,
792,29:19.7,40:40.5,680.721,,,,,,,
793,05:26.2,14:26.2,540.029,,,,,,,
794,11:47.3,16:52.9,305.649,,,,,,,
795,44:54.2,54:57.5,603.313,,,,,,,
796,18:46.1,30:22.4,696.239,,,,,,,
797,52:41.8,04:02.3,680.447,,,,,,,
798,26:25.1,36:29.5,604.444,,,,,,,
799,59:35.9,08:29.8,533.851,,,,,,,
800,31:58.8,40:58.2,539.397,,,,,,,
801,03:59.3,14:14.2,614.921,,,,,,,
802,36:33.3,47:59.9,686.589,,,,,,,
803,10:24.2,21:56.0,691.758,,,,,,,
804,46:04.2,55:46.0,581.808,,,,,,,
805,24:42.5,28:33.8,231.268,,,,,,,
806,53:45.9,56:30.8,164.9,,,,,,,
807,26:13.0,35:39.4,566.379,,,,,,,
808,00:01.5,11:29.5,687.979,,,,,,,
809,33:57.8,45:27.8,690.043,,,,,,,
810,07:44.9,18:06.6,621.674,,,,,,,
811,41:04.1,50:07.7,543.598,,,,,,,
812,13:36.2,22:27.1,530.912,,,,,,,
813,45:36.8,55:34.5,597.674,,,,,,,
814,18:00.0,29:16.0,675.979,,,,,,,
815,51:33.0,03:11.3,698.297,,,,,,,
816,26:48.4,37:04.2,615.844,,,,,,,
817,04:35.0,10:19.6,344.596,,,,,,,
818,07:33.6,16:14.7,521.171,,,,,,,
819,41:17.1,52:32.2,675.068,,,,,,,
820,15:13.4,26:50.2,696.777,,,,,,,
821,49:03.6,59:42.0,638.416,,,,,,,
822,22:30.2,31:46.4,556.155,,,,,,,
823,55:12.2,03:58.1,525.93,,,,,,,
824,27:15.3,36:56.2,580.835,,,,,,,
825,59:29.6,10:32.7,663.064,,,,,,,
826,32:45.8,44:26.5,700.723,,,,,,,
827,07:38.2,18:21.4,643.185,,,,,,,
828,44:46.4,51:51.6,425.118,,,,,,,
829,48:56.8,56:42.7,465.816,,,,,,,
830,22:33.2,33:30.3,657.074,,,,,,,
831,56:28.8,08:09.1,700.297,,,,,,,
832,30:21.5,41:15.6,654.113,,,,,,,
833,03:54.5,13:25.4,570.906,,,,,,,
834,36:46.5,45:31.2,524.735,,,,,,,
835,08:54.3,18:19.4,565.066,,,,,,,
836,41:01.8,51:50.0,648.286,,,,,,,
837,14:02.5,25:41.8,699.357,,,,,,,
838,48:33.2,59:37.8,664.555,,,,,,,
839,25:08.9,33:17.2,488.283,,,,,,,
840,30:24.5,37:01.4,396.933,,,,,,,
841,03:49.8,14:23.4,633.502,,,,,,,
842,37:44.1,49:24.3,700.265,,,,,,,
843,11:38.5,22:46.8,668.232,,,,,,,
844,45:17.1,55:04.2,587.159,,,,,,,
845,18:18.8,27:06.2,527.398,,,,,,,
846,50:33.3,59:44.3,551.074,,,,,,,
847,22:36.1,33:08.2,632.129,,,,,,,
848,55:22.7,06:57.3,694.572,,,,,,,
849,29:33.1,40:53.7,680.56,,,,,,,
850,05:39.9,14:39.3,539.478,,,,,,,
851,12:00.2,17:07.1,306.901,,,,,,,
852,45:07.4,55:11.1,603.705,,,,,,,
853,18:59.3,30:35.7,696.31,,,,,,,
854,52:55.0,04:15.3,680.318,,,,,,,
855,26:38.2,36:42.4,604.241,,,,,,,
856,59:49.0,08:42.7,533.757,,,,,,,
857,32:11.7,41:11.2,539.519,,,,,,,
858,04:12.2,14:27.3,615.128,,,,,,,
859,36:46.4,48:13.1,686.7,,,,,,,
860,10:37.5,22:09.2,691.653,,,,,,,
861,46:17.8,55:59.2,581.358,,,,,,,
862,24:56.9,28:46.5,229.547,,,,,,,
863,53:58.2,56:45.5,167.29,,,,,,,
864,26:26.1,35:53.0,566.861,,,,,,,
865,00:14.7,11:42.8,688.103,,,,,,,
866,34:11.0,45:40.9,689.946,,,,,,,
867,07:58.0,18:19.5,621.472,,,,,,,
868,41:17.1,50:20.6,543.466,,,,,,,
869,13:49.1,22:40.1,530.995,,,,,,,
870,45:49.8,55:47.6,597.879,,,,,,,
871,18:13.1,29:29.2,676.119,,,,,,,
872,51:46.2,03:24.5,698.244,,,,,,,
873,27:01.9,37:17.4,615.48,,,,,,,
874,04:49.1,10:32.6,343.492,,,,,,,
875,07:46.7,16:28.5,521.761,,,,,,,
876,41:30.3,52:45.6,675.249,,,,,,,
877,15:26.6,27:03.3,696.716,,,,,,,
878,49:16.8,59:55.0,638.223,,,,,,,
879,22:43.3,31:59.3,555.993,,,,,,,
880,55:25.2,04:11.1,525.968,,,,,,,
881,27:28.3,37:09.3,581.031,,,,,,,
882,59:42.7,10:45.9,663.229,,,,,,,
883,32:59.0,44:39.7,700.717,,,,,,,
884,07:51.7,18:34.6,642.897,,,,,,,
885,45:00.3,52:04.6,424.278,,,,,,,
886,49:09.9,56:56.5,466.542,,,,,,,
887,22:46.4,33:43.7,657.319,,,,,,,
888,56:42.0,08:22.3,700.276,,,,,,,
889,30:34.6,41:28.6,653.935,,,,,,,
890,04:07.6,13:38.3,570.721,,,,,,,
891,36:59.4,45:44.2,524.727,,,,,,,
892,09:07.2,18:32.5,565.245,,,,,,,
893,41:14.8,52:03.2,648.47,,,,,,,
894,14:15.6,25:55.0,699.396,,,,,,,
895,48:46.6,59:51.0,664.334,,,,,,,
896,25:22.7,33:30.3,487.612,,,,,,,
897,30:37.5,37:15.3,397.851,,,,,,,
898,04:03.0,14:36.9,633.817,,,,,,,
899,37:57.3,49:37.6,700.288,,,,,,,
900,11:51.7,22:59.8,668.075,,,,,,,
901,45:30.2,55:17.2,586.96,,,,,,,
902,18:31.8,27:19.1,527.344,,,,,,,
903,50:46.2,59:57.4,551.227,,,,,,,
904,22:49.0,33:21.4,632.327,,,,,,,
905,55:35.9,07:10.5,694.646,,,,,,,
906,29:46.5,41:06.9,680.4,,,,,,,
907,05:53.5,14:52.5,538.929,,,,,,,
908,12:13.1,17:21.2,308.154,,,,,,,
909,45:20.6,55:24.7,604.097,,,,,,,
910,19:12.6,30:48.9,696.381,,,,,,,
911,53:08.2,04:28.4,680.188,,,,,,,
912,26:51.3,36:55.4,604.037,,,,,,,
913,00:02.0,08:55.7,533.661,,,,,,,
914,32:24.6,41:24.3,539.64,,,,,,,
915,04:25.2,14:40.5,615.332,,,,,,,
916,36:59.5,48:26.3,686.81,,,,,,,
917,10:50.8,22:22.4,691.549,,,,,,,
918,46:31.4,56:12.3,580.909,,,,,,,
919,25:11.3,28:59.1,227.819,,,,,,,
920,54:10.6,57:00.2,169.654,,,,,,,
921,26:39.3,36:06.6,567.344,,,,,,,
922,00:27.9,11:56.2,688.227,,,,,,,
923,34:24.2,45:54.0,689.847,,,,,,,
924,08:11.2,18:32.5,621.269,,,,,,,
925,41:30.2,50:33.5,543.334,,,,,,,
926,14:02.1,22:53.2,531.076,,,,,,,
927,46:02.7,56:00.8,598.083,,,,,,,
928,18:26.1,29:42.4,676.259,,,,,,,
929,51:59.5,03:37.7,698.19,,,,,,,
930,27:15.5,37:30.6,615.116,,,,,,,
931,05:03.2,10:45.5,342.386,,,,,,,
932,07:59.8,16:42.2,522.351,,,,,,,
933,41:43.5,52:59.0,675.426,,,,,,,
934,15:39.8,27:16.5,696.651,,,,,,,
935,49:30.0,00:08.0,638.033,,,,,,,
936,22:56.4,32:12.2,555.83,,,,,,,
937,55:38.1,04:24.1,526.01,,,,,,,
938,27:41.2,37:22.4,581.222,,,,,,,
939,59:55.7,10:59.1,663.392,,,,,,,
940,33:12.2,44:52.9,700.702,,,,,,,
941,08:05.2,18:47.8,642.601,,,,,,,
942,45:14.2,52:17.7,423.437,,,,,,,
943,49:23.0,57:10.3,467.266,,,,,,,
944,22:59.6,33:57.1,657.564,,,,,,,
945,56:55.2,08:35.5,700.254,,,,,,,
946,30:47.8,41:41.6,653.755,,,,,,,
947,04:20.7,13:51.2,570.535,,,,,,,
948,37:12.4,45:57.2,524.72,,,,,,,
949,09:20.2,18:45.6,565.423,,,,,,,
950,41:27.7,52:16.4,648.651,,,,,,,
951,14:28.8,26:08.2,699.43,,,,,,,
952,49:00.1,00:04.2,664.116,,,,,,,
953,25:36.5,33:43.4,486.936,,,,,,,
954,30:50.5,37:29.3,398.765,,,,,,,
955,04:16.2,14:50.3,634.121,,,,,,,
956,38:10.5,49:50.8,700.31,,,,,,,
957,12:04.9,23:12.8,667.917,,,,,,,
958,45:43.3,55:30.1,586.761,,,,,,,
959,18:44.8,27:32.1,527.291,,,,,,,
960,50:59.1,00:10.5,551.381,,,,,,,
961,23:02.0,33:34.5,632.525,,,,,,,
962,55:49.0,07:23.7,694.721,,,,,,,
963,29:59.8,41:20.1,680.238,,,,,,,
964,06:07.2,15:05.6,538.378,,,,,,,
965,12:26.0,17:35.4,309.397,,,,,,,
966,45:33.7,55:38.2,604.489,,,,,,,
967,19:25.8,31:02.2,696.452,,,,,,,
968,53:21.4,04:41.5,680.058,,,,,,,
969,27:04.5,37:08.3,603.832,,,,,,,
970,00:15.1,09:08.6,533.566,,,,,,,
971,32:37.6,41:37.3,539.761,,,,,,,
972,04:38.1,14:53.6,615.537,,,,,,,
973,37:12.5,48:39.5,686.92,,,,,,,
974,11:04.1,22:35.6,691.444,,,,,,,
975,46:45.0,56:25.5,580.459,,,,,,,
976,25:25.7,29:11.8,226.077,,,,,,,
977,54:23.0,57:14.9,171.986,,,,,,,
978,26:52.5,36:20.3,567.825,,,,,,,
979,00:41.1,12:09.5,688.349,,,,,,,
980,34:37.4,46:07.1,689.749,,,,,,,
981,08:24.4,18:45.4,621.067,,,,,,,
982,41:43.3,50:46.5,543.202,,,,,,,
983,14:15.0,23:06.2,531.159,,,,,,,
984,46:15.6,56:13.9,598.285,,,,,,,
985,18:39.2,29:55.6,676.399,,,,,,,
986,52:12.8,03:50.9,698.136,,,,,,,
987,27:29.0,37:43.8,614.751,,,,,,,
988,05:17.2,10:58.5,341.277,,,,,,,
989,08:13.0,16:55.9,522.939,,,,,,,
990,41:56.8,53:12.4,675.607,,,,,,,
991,15:53.0,27:29.6,696.588,,,,,,,
992,49:43.1,00:21.0,637.839,,,,,,,
993,23:09.5,32:25.1,555.666,,,,,,,
994,55:51.1,04:37.1,526.047,,,,,,,
995,27:54.1,37:35.5,581.413,,,,,,,
996,00:08.7,11:12.3,663.554,,,,,,,
997,33:25.5,45:06.2,700.696,,,,,,,
998,08:18.6,19:01.0,642.31,,,,,,,
999,45:28.1,52:30.7,422.599,,,,,,,
1000,49:36.1,57:24.1,467.99,,,,,,,
1001,23:12.8,34:10.6,657.808,,,,,,,
1002,57:08.4,08:48.7,700.231,,,,,,,
1003,31:01.0,41:54.6,653.577,,,,,,,
1004,04:33.8,14:04.2,570.35,,,,,,,
1005,37:25.4,46:10.1,524.711,,,,,,,
1006,09:33.1,18:58.7,565.601,,,,,,,
1007,41:40.7,52:29.6,648.835,,,,,,,
1008,14:42.0,26:21.5,699.465,,,,,,,
1009,49:13.5,00:17.4,663.896,,,,,,,
1010,25:50.3,33:56.5,486.261,,,,,,,
1011,31:03.5,37:43.2,399.681,,,,,,,
1012,04:29.4,15:03.8,634.435,,,,,,,
1013,38:23.7,50:04.0,700.331,,,,,,,
1014,12:18.1,23:25.9,667.759,,,,,,,
1015,45:56.5,55:43.0,586.561,,,,,,,
1016,18:57.8,27:45.0,527.237,,,,,,,
1017,51:12.1,00:23.6,551.533,,,,,,,
1018,23:15.0,33:47.7,632.722,,,,,,,
1019,56:02.1,07:36.9,694.796,,,,,,,
1020,30:13.2,41:33.3,680.079,,,,,,,
1021,06:20.9,15:18.8,537.829,,,,,,,
1022,12:38.8,17:49.5,310.644,,,,,,,
1023,45:46.9,55:51.8,604.881,,,,,,,
1024,19:39.0,31:15.5,696.527,,,,,,,
1025,53:34.6,04:54.5,679.927,,,,,,,
1026,27:17.6,37:21.3,603.626,,,,,,,
1027,00:28.1,09:21.6,533.469,,,,,,,
1028,32:50.5,41:50.4,539.88,,,,,,,
1029,04:51.1,15:06.8,615.74,,,,,,,
1030,37:25.6,48:52.7,687.029,,,,,,,
1031,11:17.4,22:48.8,691.338,,,,,,,
1032,46:58.6,56:38.6,580.009,,,,,,,
1033,25:40.1,29:24.5,224.332,,,,,,,
1034,54:35.3,57:29.6,174.303,,,,,,,
1035,27:05.6,36:33.9,568.308,,,,,,,
1036,00:54.3,12:22.8,688.473,,,,,,,
1037,34:50.6,46:20.2,689.649,,,,,,,
1038,08:37.5,18:58.4,620.862,,,,,,,
1039,41:56.3,50:59.4,543.067,,,,,,,
1040,14:28.0,23:19.2,531.238,,,,,,,
1041,46:28.6,56:27.1,598.486,,,,,,,
1042,18:52.3,30:08.8,676.537,,,,,,,
1043,52:26.0,04:04.1,698.082,,,,,,,
1044,27:42.6,37:56.9,614.388,,,,,,,
1045,05:31.3,11:11.4,340.171,,,,,,,
1046,08:26.1,17:09.6,523.53,,,,,,,
1047,42:09.9,53:25.7,675.788,,,,,,,
1048,16:06.2,27:42.8,696.525,,,,,,,
1049,49:56.3,00:34.0,637.643,,,,,,,
1050,23:22.6,32:38.1,555.501,,,,,,,
1051,56:04.1,04:50.2,526.082,,,,,,,
1052,28:07.0,37:48.6,581.605,,,,,,,
1053,00:21.7,11:25.4,663.717,,,,,,,
1054,33:38.7,45:19.4,700.688,,,,,,,
1055,08:32.1,19:14.1,642.021,,,,,,,
1056,45:42.0,52:43.8,421.76,,,,,,,
1057,49:49.2,57:37.9,468.718,,,,,,,
1058,23:26.0,34:24.0,658.052,,,,,,,
1059,57:21.6,09:01.8,700.208,,,,,,,
1060,31:14.2,42:07.6,653.397,,,,,,,
1061,04:46.9,14:17.1,570.162,,,,,,,
1062,37:38.4,46:23.1,524.7,,,,,,,
1063,09:46.0,19:11.8,565.777,,,,,,,
1064,41:53.7,52:42.8,649.017,,,,,,,
1065,14:55.2,26:34.7,699.501,,,,,,,
1066,49:26.9,00:30.6,663.674,,,,,,,
1067,26:04.1,34:09.7,485.589,,,,,,,
1068,31:16.6,37:57.1,400.598,,,,,,,
1069,04:42.6,15:17.3,634.75,,,,,,,
1070,38:36.9,50:17.3,700.353,,,,,,,
1071,12:31.3,23:38.9,667.6,,,,,,,
1072,46:09.6,55:56.0,586.361,,,,,,,
1073,19:10.8,27:58.0,527.18,,,,,,,
1074,51:25.0,00:36.7,551.684,,,,,,,
1075,23:28.0,34:00.9,632.917,,,,,,,
1076,56:15.3,07:50.1,694.87,,,,,,,
1077,30:26.5,41:46.5,679.918,,,,,,,
1078,06:34.6,15:31.9,537.28,,,,,,,
1079,12:51.7,18:03.6,311.891,,,,,,,
1080,46:00.1,56:05.3,605.274,,,,,,,
1081,19:52.2,31:28.8,696.598,,,,,,,
1082,53:47.8,05:07.6,679.795,,,,,,,
1083,27:30.8,37:34.2,603.419,,,,,,,
1084,00:41.2,09:34.5,533.37,,,,,,,
1085,33:03.4,42:03.4,539.998,,,,,,,
1086,05:04.0,15:20.0,615.942,,,,,,,
1087,37:38.7,49:05.9,687.137,,,,,,,
1088,11:30.8,23:02.0,691.233,,,,,,,
1089,47:12.2,56:51.8,579.561,,,,,,,
1090,25:54.5,29:37.1,222.58,,,,,,,
1091,54:47.7,57:44.3,176.594,,,,,,,
1092,27:18.8,36:47.6,568.79,,,,,,,
1093,01:07.5,12:36.1,688.595,,,,,,,
1094,35:03.8,46:33.3,689.549,,,,,,,
1095,08:50.7,19:11.3,620.657,,,,,,,
1096,42:09.4,51:12.3,542.931,,,,,,,
1097,14:40.9,23:32.3,531.317,,,,,,,
1098,46:41.5,56:40.2,598.688,,,,,,,
1099,19:05.3,30:22.0,676.675,,,,,,,
1100,52:39.3,04:17.3,698.028,,,,,,,
1101,27:56.1,38:10.1,614.024,,,,,,,
1102,05:45.3,11:24.4,339.062,,,,,,,
1103,08:39.2,17:23.3,524.119,,,,,,,
1104,42:23.1,53:39.1,675.969,,,,,,,
1105,16:19.4,27:55.9,696.461,,,,,,,
1106,50:09.5,00:46.9,637.447,,,,,,,
1107,23:35.6,32:51.0,555.336,,,,,,,
1108,56:17.0,05:03.2,526.118,,,,,,,
1109,28:20.0,38:01.8,581.798,,,,,,,
1110,00:34.8,11:38.6,663.88,,,,,,,
1111,33:51.9,45:32.6,700.682,,,,,,,
1112,08:45.6,19:27.3,641.732,,,,,,,
1113,45:55.9,52:56.8,420.918,,,,,,,
1114,50:02.3,57:51.7,469.442,,,,,,,
1115,23:39.2,34:37.5,658.295,,,,,,,
1116,57:34.8,09:15.0,700.184,,,,,,,
1117,31:27.4,42:20.6,653.216,,,,,,,
1118,05:00.0,14:30.0,569.975,,,,,,,
1119,37:51.4,46:36.1,524.69,,,,,,,
1120,09:58.9,19:24.9,565.953,,,,,,,
1121,42:06.7,52:55.9,649.2,,,,,,,
1122,15:08.3,26:47.9,699.536,,,,,,,
1123,49:40.3,00:43.8,663.451,,,,,,,
1124,26:17.8,34:22.8,484.916,,,,,,,
1125,31:29.6,38:11.1,401.511,,,,,,,
1126,04:55.8,15:30.8,635.064,,,,,,,
1127,38:50.1,50:30.5,700.373,,,,,,,
1128,12:44.5,23:51.9,667.441,,,,,,,
1129,46:22.7,56:08.9,586.16,,,,,,,
1130,19:23.8,28:11.0,527.125,,,,,,,
1131,51:37.9,00:49.7,551.835,,,,,,,
1132,23:40.9,34:14.0,633.113,,,,,,,
1133,56:28.4,08:03.3,694.944,,,,,,,
1134,30:39.9,41:59.7,679.756,,,,,,,
1135,06:48.3,15:45.0,536.73,,,,,,,
1136,13:04.6,18:17.8,313.131,,,,,,,
1137,46:13.2,56:18.9,605.665,,,,,,,
1138,20:05.4,31:42.0,696.667,,,,,,,
1139,54:01.0,05:20.6,679.663,,,,,,,
1140,27:43.9,37:47.1,603.212,,,,,,,
